timestamp,id,Temperature (degC),Humidity (%),Wind Speed (m/s),Wind Direction (deg),Pressure (hPa),PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate (m3/s),ACH,CarbonEmissions(lb-co2/h),CarbonEmissions(kg-co2/h)
2022-10-01 01:55:00,24,8.428,87.53,0.934,74.411,849.063,4.446,0.016,357.454,1.356,76.666,0.334,0.183,0.741,1.793,0.8132904559999999
2022-10-01 02:00:00,25,8.5,82.0,1.0,92.0,1020.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 02:05:00,26,7.218,79.692,1.028,102.852,1053.641,0.0,0.0,0.0,0.0,71.512,0.291,0.119,0.465,2.084,0.945285728
2022-10-01 02:10:00,27,6.73,74.629,1.023,78.24,895.693,0.0,0.0,0.0,0.0,84.03,0.299,0.138,0.521,1.611,0.730736712
2022-10-01 02:15:00,28,8.018,81.678,0.892,101.051,1081.667,0.0,0.0,0.0,0.0,74.801,0.315,0.113,0.526,1.792,0.812836864
2022-10-01 02:20:00,29,8.587,73.052,0.735,101.034,1055.47,0.0,0.0,0.0,0.0,72.086,0.328,0.11,0.545,1.814,0.822815888
2022-10-01 02:25:00,30,8.022,65.321,0.789,97.484,1011.66,0.0,0.0,0.0,0.0,63.088,0.295,0.141,0.482,1.802,0.817372784
2022-10-01 02:30:00,31,6.79,81.957,1.165,89.931,853.282,0.0,0.0,0.0,0.0,85.225,0.323,0.12,0.596,1.388,0.6295856959999999
2022-10-01 02:35:00,32,7.869,85.605,1.023,111.99,1084.338,0.0,0.0,0.0,0.0,82.804,0.313,0.139,0.462,1.695,0.76883844
2022-10-01 02:40:00,33,8.689,75.359,0.932,104.152,1014.608,0.0,0.0,0.0,0.0,79.623,0.306,0.129,0.553,1.526,0.692181392
2022-10-01 02:45:00,34,9.444,100.801,1.149,96.266,1287.834,0.0,0.0,0.0,0.0,75.162,0.337,0.127,0.433,1.885,0.85502092
2022-10-01 02:50:00,35,7.986,76.365,0.877,85.434,978.598,0.0,0.0,0.0,0.0,85.181,0.336,0.138,0.425,1.715,0.7779102800000001
2022-10-01 02:55:00,36,8.293,82.134,1.046,80.969,1078.595,0.0,0.0,0.0,0.0,81.588,0.325,0.134,0.509,1.97,0.89357624
2022-10-01 03:00:00,37,8.67,80.0,1.0,78.0,1021.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 03:05:00,38,9.088,87.217,0.936,73.243,1010.414,0.0,0.0,0.0,0.0,78.066,0.289,0.135,0.455,1.54,0.69853168
2022-10-01 03:10:00,39,8.646,90.199,1.286,68.742,968.021,0.0,0.0,0.0,0.0,80.698,0.272,0.108,0.503,1.955,0.88677236
2022-10-01 03:15:00,40,7.714,73.65,0.892,84.003,1101.364,0.0,0.0,0.0,0.0,80.315,0.291,0.14,0.428,1.608,0.7293759360000001
2022-10-01 03:20:00,41,7.981,97.015,0.999,84.668,1165.898,0.0,0.0,0.0,0.0,83.088,0.285,0.121,0.489,2.018,0.9153486559999999
2022-10-01 03:25:00,42,8.836,90.518,1.147,75.478,948.384,0.0,0.0,0.0,0.0,73.646,0.357,0.121,0.484,1.762,0.799229104
2022-10-01 03:30:00,43,8.145,72.02,1.094,89.543,889.47,0.0,0.0,0.0,0.0,72.992,0.334,0.143,0.517,1.5,0.680388
2022-10-01 03:35:00,44,8.825,86.796,1.009,74.096,1006.532,0.0,0.0,0.0,0.0,78.686,0.329,0.115,0.478,1.677,0.760673784
2022-10-01 03:40:00,45,8.99,84.077,0.855,78.788,884.994,0.0,0.0,0.0,0.0,72.878,0.271,0.12,0.476,1.524,0.6912742080000001
2022-10-01 03:45:00,46,9.073,89.394,0.889,83.297,1141.439,0.0,0.0,0.0,0.0,79.93,0.321,0.139,0.482,1.748,0.792878816
2022-10-01 03:50:00,47,8.416,79.574,0.711,75.048,1006.762,0.0,0.0,0.0,0.0,70.835,0.316,0.111,0.41,1.947,0.883143624
2022-10-01 03:55:00,48,10.074,81.784,0.971,81.944,1073.774,0.0,0.0,0.0,0.0,63.074,0.278,0.111,0.455,1.766,0.801043472
2022-10-01 04:00:00,49,8.56,80.0,1.0,83.0,1021.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 04:05:00,50,8.972,78.884,0.999,85.675,1102.192,0.0,0.0,0.0,0.0,71.876,0.284,0.121,0.632,1.721,0.7806318320000001
2022-10-01 04:10:00,51,7.781,89.517,1.129,76.041,840.705,0.0,0.0,0.0,0.0,84.624,0.333,0.131,0.481,1.764,0.800136288
2022-10-01 04:15:00,52,9.329,85.653,1.181,99.703,968.591,0.0,0.0,0.0,0.0,72.839,0.318,0.157,0.425,1.608,0.7293759360000001
2022-10-01 04:20:00,53,8.996,91.595,1.08,80.147,907.578,0.0,0.0,0.0,0.0,87.79,0.227,0.135,0.465,1.645,0.74615884
2022-10-01 04:25:00,54,8.293,68.584,1.135,78.387,992.511,0.0,0.0,0.0,0.0,72.114,0.316,0.111,0.57,1.775,0.8051258
2022-10-01 04:30:00,55,8.201,98.518,0.869,74.659,1291.016,0.0,0.0,0.0,0.0,56.583,0.338,0.141,0.494,2.127,0.9647901839999999
2022-10-01 04:35:00,56,7.64,69.311,0.934,71.793,1107.024,0.0,0.0,0.0,0.0,76.623,0.34,0.118,0.484,2.141,0.971140472
2022-10-01 04:40:00,57,10.255,66.47,0.985,86.365,1157.566,0.0,0.0,0.0,0.0,83.765,0.287,0.126,0.522,1.846,0.837330832
2022-10-01 04:45:00,58,8.671,95.68,1.008,79.014,1024.304,0.0,0.0,0.0,0.0,78.274,0.276,0.129,0.578,1.488,0.674944896
2022-10-01 04:50:00,59,8.775,85.344,0.949,85.217,1017.666,0.0,0.0,0.0,0.0,89.372,0.297,0.123,0.537,1.699,0.770652808
2022-10-01 04:55:00,60,8.041,69.982,0.933,73.265,989.553,0.0,0.0,0.0,0.0,74.159,0.362,0.127,0.509,1.581,0.7171289519999999
2022-10-01 05:00:00,61,8.39,80.0,1.0,77.0,1022.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 05:05:00,62,7.751,87.172,1.038,69.167,1059.816,0.0,0.0,0.0,0.0,79.56,0.345,0.141,0.536,1.786,0.810115312
2022-10-01 05:10:00,63,8.568,89.027,0.988,79.22,1224.476,0.0,0.0,0.0,0.0,60.889,0.342,0.147,0.484,1.818,0.8246302560000001
2022-10-01 05:15:00,64,8.227,76.249,0.949,90.329,932.446,0.0,0.0,0.0,0.0,72.869,0.303,0.123,0.498,1.75,0.793786
2022-10-01 05:20:00,65,7.757,85.507,1.059,79.558,1099.447,0.0,0.0,0.0,0.0,79.563,0.296,0.127,0.523,1.697,0.769745624
2022-10-01 05:25:00,66,6.649,84.612,1.028,76.351,907.388,0.0,0.0,0.0,0.0,74.827,0.309,0.151,0.44,1.621,0.735272632
2022-10-01 05:30:00,67,9.009,88.008,0.967,68.036,1034.719,0.0,0.0,0.0,0.0,70.828,0.358,0.13,0.442,1.944,0.881782848
2022-10-01 05:35:00,68,8.91,79.331,0.973,84.907,1211.351,0.0,0.0,0.0,0.0,75.145,0.3,0.127,0.49,1.907,0.864999944
2022-10-01 05:40:00,69,8.103,74.32,0.948,96.324,853.694,0.0,0.0,0.0,0.0,75.759,0.268,0.119,0.459,1.576,0.714860992
2022-10-01 05:45:00,70,8.673,89.252,1.161,72.026,975.3,0.0,0.0,0.0,0.0,76.252,0.31,0.113,0.553,1.705,0.77337436
2022-10-01 05:50:00,71,7.719,96.194,1.118,81.244,1174.1,0.0,0.0,0.0,0.0,61.099,0.309,0.148,0.533,1.651,0.748880392
2022-10-01 05:55:00,72,9.368,100.005,1.113,78.593,1080.568,0.0,0.0,0.0,0.0,62.188,0.328,0.126,0.47,1.813,0.822362296
2022-10-01 06:00:00,73,9.06,76.0,1.0,75.0,1022.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 06:05:00,74,10.605,86.344,0.951,79.461,1075.146,0.0,0.0,0.0,0.0,78.757,0.297,0.132,0.528,1.727,0.783353384
2022-10-01 06:10:00,75,9.328,78.924,0.938,73.405,931.549,0.0,0.0,0.0,0.0,80.469,0.322,0.142,0.499,1.61,0.7302831200000001
2022-10-01 06:15:00,76,8.797,73.587,0.919,80.513,886.809,0.0,0.0,0.0,0.0,85.454,0.251,0.123,0.565,1.621,0.735272632
2022-10-01 06:20:00,77,10.387,76.333,0.842,86.219,1103.461,0.0,0.0,0.0,0.0,76.683,0.328,0.146,0.464,1.731,0.785167752
2022-10-01 06:25:00,78,9.279,88.53,0.965,70.214,669.084,0.0,0.0,0.0,0.0,64.273,0.299,0.127,0.5,1.866,0.8464026720000001
2022-10-01 06:30:00,79,9.746,75.146,1.24,72.28,901.252,0.0,0.0,0.0,0.0,76.611,0.317,0.143,0.496,1.681,0.762488152
2022-10-01 06:35:00,80,9.036,80.096,1.015,79.869,1025.61,0.0,0.0,0.0,0.0,70.606,0.347,0.154,0.46,1.531,0.6944493519999999
2022-10-01 06:40:00,81,8.888,82.766,1.126,87.411,827.557,0.0,0.0,0.0,0.0,70.806,0.271,0.129,0.504,1.804,0.818279968
2022-10-01 06:45:00,82,7.458,87.569,0.967,83.19,1026.531,0.0,0.0,0.0,0.0,62.206,0.273,0.148,0.505,1.878,0.8518457759999999
2022-10-01 06:50:00,83,10.551,73.572,1.071,83.495,1036.878,0.0,0.0,0.0,0.0,77.524,0.331,0.126,0.566,1.599,0.725293608
2022-10-01 06:55:00,84,6.397,76.253,1.004,93.539,1030.962,0.0,0.0,0.0,0.0,77.106,0.295,0.133,0.457,1.836,0.832794912
2022-10-01 07:00:00,85,11.67,67.0,1.0,75.0,1023.0,5.0,0.019,300.0,1.16,82.4,0.319,0.201,0.765,1.935,0.87770052
2022-10-01 07:05:00,86,11.046,66.612,1.154,77.855,972.446,6.239,0.019,340.269,1.158,85.967,0.313,0.2,0.875,1.685,0.76430252
2022-10-01 07:10:00,87,10.735,64.667,1.002,74.967,924.561,4.683,0.019,321.836,1.137,78.584,0.278,0.199,0.774,2.018,0.9153486559999999
2022-10-01 07:15:00,88,11.994,54.864,1.005,67.806,1145.716,5.777,0.019,264.144,1.123,66.68,0.278,0.183,0.698,1.641,0.744344472
2022-10-01 07:20:00,89,13.313,72.594,0.982,90.332,1017.453,4.07,0.017,316.802,1.082,87.946,0.313,0.213,0.849,2.165,0.98202668
2022-10-01 07:25:00,90,10.897,70.094,0.733,81.953,976.138,4.929,0.017,342.391,1.295,70.854,0.254,0.21,0.738,1.878,0.8518457759999999
2022-10-01 07:30:00,91,11.29,77.444,1.0,79.322,922.104,4.057,0.019,274.644,0.975,91.64,0.316,0.239,0.667,1.971,0.8940298320000001
2022-10-01 07:35:00,92,10.411,66.194,1.007,78.326,967.938,5.374,0.017,306.714,1.052,75.733,0.307,0.194,0.724,2.047,0.9285028240000001
2022-10-01 07:40:00,93,12.809,56.28,0.971,75.869,1053.691,4.801,0.023,358.291,1.162,72.416,0.334,0.194,0.669,1.612,0.7311903040000001
2022-10-01 07:45:00,94,12.999,67.062,0.862,75.399,1222.896,6.082,0.019,301.499,1.235,86.897,0.307,0.187,0.615,1.976,0.8962977919999999
2022-10-01 07:50:00,95,11.814,73.741,0.879,65.395,992.597,6.921,0.019,327.005,1.304,74.848,0.369,0.213,0.691,1.903,0.863185576
2022-10-01 07:55:00,96,10.565,65.475,1.088,77.239,1306.524,5.672,0.022,321.996,0.912,79.303,0.282,0.165,0.785,1.646,0.7466124319999999
2022-10-01 08:00:00,97,15.22,56.0,3.0,87.0,1023.0,4.0,0.015,300.0,1.16,81.4,0.315,0.186,0.711,1.923,0.8722574160000001
2022-10-01 08:05:00,98,15.708,55.681,2.681,91.308,988.875,4.01,0.015,304.165,1.368,70.216,0.301,0.183,0.739,1.801,0.816919192
2022-10-01 08:10:00,99,16.863,64.316,3.734,89.761,1064.243,3.675,0.016,312.332,1.08,77.034,0.272,0.196,0.74,1.987,0.901287304
2022-10-01 08:15:00,100,14.106,63.963,2.775,101.197,1171.632,3.99,0.016,287.685,1.002,93.554,0.279,0.19,0.708,1.87,0.8482170400000001
2022-10-01 08:20:00,101,16.325,55.651,3.377,85.276,1031.98,3.123,0.015,249.79,0.994,82.93,0.274,0.173,0.709,2.216,1.0051598720000001
2022-10-01 08:25:00,102,17.146,47.961,2.895,77.122,1128.07,4.251,0.015,327.264,1.051,90.616,0.364,0.167,0.728,1.881,0.853206552
2022-10-01 08:30:00,103,15.678,57.462,2.873,86.147,1064.976,4.18,0.019,338.31,1.229,73.503,0.314,0.184,0.825,1.97,0.89357624
2022-10-01 08:35:00,104,12.746,60.591,3.488,86.323,1198.431,3.881,0.013,278.484,1.125,92.651,0.313,0.188,0.633,1.848,0.838238016
2022-10-01 08:40:00,105,16.08,56.717,3.084,102.42,1005.292,4.348,0.015,273.359,0.995,71.543,0.316,0.212,0.791,1.813,0.822362296
2022-10-01 08:45:00,106,16.178,47.667,3.229,100.864,1384.21,4.293,0.012,289.97,1.281,77.785,0.221,0.212,0.682,1.916,0.869082272
2022-10-01 08:50:00,107,15.359,54.084,3.18,91.398,1033.999,3.622,0.019,275.759,1.092,81.432,0.345,0.208,0.614,2.109,0.956625528
2022-10-01 08:55:00,108,14.501,65.299,3.503,97.321,953.104,3.778,0.014,234.694,1.152,84.805,0.312,0.158,0.805,2.363,1.071837896
2022-10-01 09:00:00,109,18.22,45.0,3.0,69.0,1023.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 09:05:00,110,16.421,43.058,3.35,74.538,996.939,0.0,0.0,0.0,0.0,75.074,0.322,0.14,0.506,1.744,0.791064448
2022-10-01 09:10:00,111,18.573,44.17,2.613,79.189,1157.111,0.0,0.0,0.0,0.0,74.694,0.27,0.129,0.467,1.377,0.6245961839999999
2022-10-01 09:15:00,112,15.173,41.55,3.148,60.399,1125.898,0.0,0.0,0.0,0.0,87.964,0.261,0.129,0.503,1.577,0.7153145839999999
2022-10-01 09:20:00,113,20.357,43.414,2.939,74.701,917.396,0.0,0.0,0.0,0.0,80.942,0.266,0.161,0.511,1.867,0.846856264
2022-10-01 09:25:00,114,22.407,41.932,3.511,75.356,947.015,0.0,0.0,0.0,0.0,73.558,0.301,0.135,0.487,1.832,0.830980544
2022-10-01 09:30:00,115,16.051,42.725,2.507,70.628,1000.815,0.0,0.0,0.0,0.0,78.852,0.277,0.142,0.501,1.838,0.833702096
2022-10-01 09:35:00,116,17.992,38.362,3.07,54.338,954.067,0.0,0.0,0.0,0.0,72.972,0.33,0.152,0.65,1.561,0.708057112
2022-10-01 09:40:00,117,18.949,47.552,2.163,74.813,954.096,0.0,0.0,0.0,0.0,93.551,0.361,0.115,0.491,1.405,0.63729676
2022-10-01 09:45:00,118,16.05,45.502,2.671,77.378,1196.836,0.0,0.0,0.0,0.0,72.323,0.286,0.142,0.563,1.749,0.793332408
2022-10-01 09:50:00,119,17.598,37.804,3.009,81.635,1033.255,0.0,0.0,0.0,0.0,70.969,0.294,0.138,0.446,1.664,0.754777088
2022-10-01 09:55:00,120,19.099,44.075,3.11,76.91,1043.453,0.0,0.0,0.0,0.0,80.737,0.336,0.142,0.524,1.933,0.876793336
2022-10-01 10:00:00,121,20.0,40.0,4.0,62.0,1023.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 10:05:00,122,25.042,37.856,4.832,67.971,1047.269,0.0,0.0,0.0,0.0,83.657,0.305,0.125,0.519,1.761,0.798775512
2022-10-01 10:10:00,123,18.757,42.477,4.442,60.495,916.557,0.0,0.0,0.0,0.0,87.058,0.266,0.129,0.532,1.809,0.820547928
2022-10-01 10:15:00,124,18.964,33.081,4.229,63.384,943.288,0.0,0.0,0.0,0.0,77.999,0.296,0.126,0.488,1.461,0.6626979120000001
2022-10-01 10:20:00,125,17.17,42.96,3.845,77.283,991.64,0.0,0.0,0.0,0.0,87.547,0.31,0.138,0.529,1.756,0.796507552
2022-10-01 10:25:00,126,17.369,45.08,3.969,65.16,980.765,0.0,0.0,0.0,0.0,80.917,0.391,0.124,0.621,1.946,0.882690032
2022-10-01 10:30:00,127,20.604,36.226,3.675,67.503,937.612,0.0,0.0,0.0,0.0,84.262,0.288,0.123,0.506,1.755,0.79605396
2022-10-01 10:35:00,128,18.373,42.688,3.082,61.886,1215.112,0.0,0.0,0.0,0.0,75.414,0.328,0.128,0.529,1.664,0.754777088
2022-10-01 10:40:00,129,20.484,44.118,3.756,71.407,1002.013,0.0,0.0,0.0,0.0,78.16,0.317,0.148,0.509,2.038,0.9244204959999999
2022-10-01 10:45:00,130,20.338,36.818,3.984,65.22,1114.835,0.0,0.0,0.0,0.0,87.114,0.272,0.112,0.541,1.815,0.82326948
2022-10-01 10:50:00,131,21.55,35.796,3.417,70.905,1059.018,0.0,0.0,0.0,0.0,76.852,0.264,0.147,0.519,1.621,0.735272632
2022-10-01 10:55:00,132,18.949,34.017,4.128,65.556,997.788,0.0,0.0,0.0,0.0,90.584,0.324,0.124,0.473,1.55,0.7030676
2022-10-01 11:00:00,133,21.17,36.0,5.0,79.0,1023.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 11:05:00,134,22.837,34.802,5.099,98.225,931.437,0.0,0.0,0.0,0.0,59.95,0.305,0.15,0.477,1.646,0.7466124319999999
2022-10-01 11:10:00,135,20.425,31.361,5.131,76.478,930.711,0.0,0.0,0.0,0.0,81.025,0.334,0.134,0.578,1.685,0.76430252
2022-10-01 11:15:00,136,23.831,34.475,5.779,81.16,969.706,0.0,0.0,0.0,0.0,74.0,0.315,0.133,0.492,1.485,0.67358412
2022-10-01 11:20:00,137,18.947,36.194,5.015,86.933,1082.323,0.0,0.0,0.0,0.0,82.265,0.269,0.105,0.551,1.665,0.75523068
2022-10-01 11:25:00,138,16.234,35.453,5.103,85.563,1042.019,0.0,0.0,0.0,0.0,75.648,0.301,0.14,0.511,1.959,0.888586728
2022-10-01 11:30:00,139,22.003,35.282,4.944,74.026,1016.284,0.0,0.0,0.0,0.0,96.247,0.315,0.135,0.425,2.0,0.907184
2022-10-01 11:35:00,140,15.471,30.217,4.666,77.268,962.861,0.0,0.0,0.0,0.0,71.025,0.334,0.121,0.518,1.626,0.737540592
2022-10-01 11:40:00,141,21.765,34.455,5.088,88.551,993.005,0.0,0.0,0.0,0.0,75.151,0.305,0.124,0.466,1.6,0.7257472
2022-10-01 11:45:00,142,20.671,36.288,5.729,81.933,958.843,0.0,0.0,0.0,0.0,66.063,0.325,0.131,0.523,1.468,0.665873056
2022-10-01 11:50:00,143,21.311,38.615,4.935,79.905,1097.515,0.0,0.0,0.0,0.0,83.827,0.318,0.146,0.441,1.833,0.8314341359999999
2022-10-01 11:55:00,144,17.598,37.152,4.858,81.479,1126.365,0.0,0.0,0.0,0.0,82.945,0.29,0.13,0.457,1.711,0.776095912
2022-10-01 12:00:00,145,22.28,33.0,4.0,65.0,1022.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 12:05:00,146,23.714,35.564,4.751,59.432,820.664,0.0,0.0,0.0,0.0,67.645,0.29,0.123,0.471,1.727,0.783353384
2022-10-01 12:10:00,147,21.136,29.272,3.424,64.0,1204.661,0.0,0.0,0.0,0.0,83.162,0.339,0.139,0.571,1.763,0.799682696
2022-10-01 12:15:00,148,17.686,37.651,3.928,65.09,1042.506,0.0,0.0,0.0,0.0,73.222,0.259,0.133,0.526,1.909,0.865907128
2022-10-01 12:20:00,149,21.695,32.727,4.031,63.638,1027.183,0.0,0.0,0.0,0.0,77.041,0.302,0.114,0.558,1.833,0.8314341359999999
2022-10-01 12:25:00,150,23.48,34.438,4.063,73.673,1123.269,0.0,0.0,0.0,0.0,72.078,0.238,0.141,0.453,1.814,0.822815888
2022-10-01 12:30:00,151,24.561,32.357,4.353,68.742,1133.288,0.0,0.0,0.0,0.0,80.47,0.273,0.146,0.51,1.351,0.612802792
2022-10-01 12:35:00,152,17.992,38.14,3.814,51.8,989.806,0.0,0.0,0.0,0.0,76.751,0.322,0.125,0.504,1.997,0.905823224
2022-10-01 12:40:00,153,21.544,32.6,3.969,56.933,1033.595,0.0,0.0,0.0,0.0,77.141,0.301,0.113,0.548,1.802,0.817372784
2022-10-01 12:45:00,154,22.99,34.066,4.165,70.398,975.903,0.0,0.0,0.0,0.0,82.269,0.336,0.118,0.425,1.953,0.885865176
2022-10-01 12:50:00,155,23.406,33.486,3.741,59.528,1035.907,0.0,0.0,0.0,0.0,85.049,0.317,0.144,0.492,1.527,0.6926349839999999
2022-10-01 12:55:00,156,21.861,27.631,4.249,60.413,1022.542,0.0,0.0,0.0,0.0,75.349,0.226,0.142,0.563,1.754,0.795600368
2022-10-01 13:00:00,157,22.95,32.0,4.0,61.0,1022.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 13:05:00,158,20.366,31.832,3.609,47.205,1002.877,0.0,0.0,0.0,0.0,79.498,0.36,0.143,0.456,1.663,0.754323496
2022-10-01 13:10:00,159,20.169,31.778,2.905,58.058,908.75,0.0,0.0,0.0,0.0,76.948,0.285,0.134,0.499,1.515,0.68719188
2022-10-01 13:15:00,160,19.314,30.489,4.373,53.814,1206.537,0.0,0.0,0.0,0.0,77.322,0.314,0.117,0.51,1.658,0.752055536
2022-10-01 13:20:00,161,21.865,29.122,3.702,70.632,889.537,0.0,0.0,0.0,0.0,72.593,0.261,0.105,0.492,1.652,0.749333984
2022-10-01 13:25:00,162,21.678,35.364,4.25,53.116,919.977,0.0,0.0,0.0,0.0,77.242,0.328,0.141,0.415,1.797,0.815104824
2022-10-01 13:30:00,163,26.156,32.46,3.955,55.893,1007.621,0.0,0.0,0.0,0.0,86.949,0.297,0.131,0.537,1.717,0.7788174640000001
2022-10-01 13:35:00,164,22.544,31.198,4.429,61.869,945.502,0.0,0.0,0.0,0.0,83.253,0.29,0.126,0.569,1.909,0.865907128
2022-10-01 13:40:00,165,21.039,31.005,4.253,57.085,1026.25,0.0,0.0,0.0,0.0,89.907,0.246,0.133,0.511,1.626,0.737540592
2022-10-01 13:45:00,166,20.332,34.978,4.319,62.965,1068.341,0.0,0.0,0.0,0.0,79.373,0.346,0.127,0.496,1.579,0.7162217679999999
2022-10-01 13:50:00,167,24.116,34.376,3.989,63.233,862.67,0.0,0.0,0.0,0.0,80.266,0.317,0.132,0.418,1.726,0.7828997919999999
2022-10-01 13:55:00,168,25.801,33.373,3.764,65.499,1067.195,0.0,0.0,0.0,0.0,79.535,0.291,0.14,0.483,2.081,0.9439249519999999
2022-10-01 14:00:00,169,23.39,31.0,5.0,79.0,1021.0,0.0,0.0,0.0,0.0,77.4,0.299,0.13,0.496,1.762,0.799229104
2022-10-01 14:05:00,170,20.483,30.067,4.198,79.926,932.844,0.0,0.0,0.0,0.0,70.672,0.308,0.114,0.443,1.757,0.796961144
2022-10-01 14:10:00,171,21.844,24.785,4.777,82.22,823.674,0.0,0.0,0.0,0.0,85.309,0.303,0.127,0.529,1.882,0.8536601439999999
2022-10-01 14:15:00,172,22.289,30.771,4.121,87.63,966.786,0.0,0.0,0.0,0.0,92.441,0.289,0.132,0.498,1.64,0.7438908799999999
2022-10-01 14:20:00,173,21.915,32.681,4.558,81.918,919.07,0.0,0.0,0.0,0.0,69.783,0.327,0.12,0.43,1.56,0.70760352
